Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SAO PAULO;AUTO POSTO 001 LTDA; 10.000.001/0001-07;AVENIDA BRASIL;112;;CENTRO;46048-350;GASOLINA;03/01/2024;6,277;5,508;R$ / litro;VIBRA
SE;SP;SAO PAULO;AUTO POSTO 001 LTDA;10.000.001/0001-07;AVENIDA BRASIL;112;;CENTRO;46048-350;GNV;03/01/2024;4,780;;R$ / m³;VIBRA
SE;SP;SAO PAULO;AUTO POSTO 002 LTDA; 10000002000114 ;RODOVIA BR 116;1738;;CENTRO;14165-130;GASOLINA ADITIVADA;03/01/2024;6,173;;R$ / litro;BRANCA
SE;SP;SAO PAULO;AUTO POSTO 002 LTDA;10.000.002/0001-14;RODOVIA BR 116;1738;;CENTRO;14165-130;GASOLINA;03/01/2024;5,849;;R$ / litro;BRANCA
SE;SP;SAO PAULO;AUTO POSTO 003 LTDA; 10.000.003/0001-21;RODOVIA BR 116;824;;CENTRO;81426-529;GNV;03/01/2024;4,824;;R$ / m³;VIBRA
SE;SP;SAO PAULO;AUTO POSTO 003 LTDA; 10.000.003/0001-21;RODOVIA BR 116;824;;CENTRO;81426-529;ETANOL;03/01/2024;3,220;2,787;R$ / litro;VIBRA
SE;SP;SAO PAULO  ;AUTO POSTO 003 LTDA;10.000.003/0001-21;RODOVIA BR 116;824;;CENTRO;81426-529;GASOLINA;03/01/2024;5,577;4,827;R$ / litro;VIBRA
SE;SP;SAO PAULO;AUTO POSTO 004 LTDA;10.000.004/0001-28;RUA DAS FLORES;2869;;CENTRO;65392-448;GASOLINA ADITIVADA;03/01/2024;6,599;;R$ / litro;IPIRANGA
SE;SP;SAO PAULO;AUTO POSTO 004 LTDA; 10000004000128 ;RUA DAS FLORES;2869;;CENTRO;65392-448;ETANOL;03/01/2024;3,961;3,405;R$ / litro;IPIRANGA
SE;SP;GUARULHOS;AUTO POSTO 005 LTDA; 10000005000135 ;AVENIDA BRASIL;389;;CENTRO;59797-199;GNV;03/01/2024;4,623;;R$ / m³;IPIRANGA
SE;SP;GUARULHOS;AUTO POSTO 005 LTDA; 10.000.005/0001-35;AVENIDA BRASIL;389;;CENTRO;59797-199;GASOLINA;03/01/2024;5,491;;R$ / litro;IPIRANGA
SE;SP;GUARULHOS;AUTO POSTO 006 LTDA;10.000.006/0001-42;RUA QUINZE DE NOVEMBRO;2206;;CENTRO;26361-487;ETANOL;03/01/2024;4,088;3,484;R$ / litro;BRANCA
SE;SP;GUARULHOS;AUTO POSTO 006 LTDA;10.000.006/0001-42;RUA QUINZE DE NOVEMBRO;2206;;CENTRO;26361-487;GNV;03/01/2024;4,497;;R$ / m³;BRANCA
SE;SP;GUARULHOS;AUTO POSTO 006 LTDA; 10000006000142 ;RUA QUINZE DE NOVEMBRO;2206;;CENTRO;26361-487;DIESEL S10;03/01/2024;5,906;;R$ / litro;BRANCA
SE;SP;GUARULHOS;AUTO POSTO 007 LTDA; 10.000.007/0001-49;RUA DAS FLORES;2895;;CENTRO;19116-146;GASOLINA;03/01/2024;5,815;;R$ / litro;VIBRA
SE;SP;GUARULHOS;AUTO POSTO 007 LTDA;10.000.007/0001-49;RUA DAS FLORES;2895;;CENTRO;19116-146;GASOLINA ADITIVADA;03/01/2024;6,554;5,958;R$ / litro;VIBRA
SE;SP;GUARULHOS;AUTO POSTO 008 LTDA;10.000.008/0001-56;RUA QUINZE DE NOVEMBRO;1148;;CENTRO;69429-750;ETANOL;03/01/2024;3,954;3,542;R$ / litro;IPIRANGA
SE;SP;GUARULHOS;AUTO POSTO 008 LTDA;10.000.008/0001-56;RUA QUINZE DE NOVEMBRO;1148;;CENTRO;69429-750;GNV;03/01/2024;4,955;4,342;R$ / m³;IPIRANGA
SE;SP;CAMPINAS;AUTO POSTO 009 LTDA; 10000009000163 ;RUA DAS FLORES;2755;;CENTRO;44993-818;GNV;03/01/2024;5,039;4,355;R$ / m³;BRANCA
SE;SP;CAMPINAS;AUTO POSTO 009 LTDA;10.000.009/0001-63;RUA DAS FLORES;2755;;CENTRO;44993-818;GASOLINA;03/01/2024;6,204;;R$ / litro;BRANCA
SE;SP;CAMPINAS;AUTO POSTO 010 LTDA;10.000.010/0001-70;RUA QUINZE DE NOVEMBRO;1564;;CENTRO;45382-755;ETANOL;03/01/2024;4,163;;R$ / litro;ALESAT
SE;SP;CAMPINAS  ;AUTO POSTO 010 LTDA; 10.000.010/0001-70;RUA QUINZE DE NOVEMBRO;1564;;CENTRO;45382-755;GASOLINA;03/01/2024;5,450;;R$ / litro;ALESAT
SE;SP;CAMPINAS;AUTO POSTO 011 LTDA; 10.000.011/0001-77;RUA DAS FLORES;3376;;CENTRO;14207-924;ETANOL;03/01/2024;4,135;;R$ / litro;IPIRANGA
